"Unemployed, six months or more_y","Unemployed, six months or more_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>","Unemployed, 15-26 weeks_y","Unemployed, 15-26 weeks_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>","Unemployed, 5-14 weeks_y","Unemployed, 5-14 weeks_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>"
499.1913746630726,2010-8-6,187.87061994609152,2010-8-6,142.4528301886792,2010-9-10
495.0134770889487,2010-8-22,186.38814016172515,2010-8-22,140.70080862533703,2010-9-26
488.1401617250676,2010-9-7,190.1617250673854,2010-9-8,141.3746630727762,2010-10-13
478.70619946091625,2010-9-22,195.41778975741224,2010-9-25,141.37466307277634,2010-10-30
471.0242587601078,2010-10-7,199.73045822102407,2010-10-13,140.43126684636113,2010-11-15
467.65498652291103,2010-10-23,203.50404312668454,2010-10-30,137.73584905660383,2010-12-1
467.3854447439353,2010-11-9,203.63881401617255,2010-11-15,134.501347708895,2010-12-17
470.7547169811321,2010-11-26,199.0566037735847,2010-12-1,130.99730458221026,2011-1-2
474.3935309973044,2010-12-13,188.409703504043,2010-12-15,128.57142857142867,2011-1-18
477.8975741239892,2010-12-30,182.4797843665767,2010-12-29,130.0539083557952,2011-2-4
482.2102425876011,2011-1-16,186.25336927223734,2011-1-15,130.86253369272225,2011-2-21
484.90566037735834,2011-2-2,189.21832884097034,2011-2-1,127.76280323450143,2011-3-9
478.70619946091637,2011-2-17,191.10512129380052,2011-2-18,126.14555256064676,2011-3-25
470.9433962264151,2011-3-3,186.30727762803227,2011-3-4,126.14555256064695,2011-4-11
461.60954948016956,2011-3-15,177.08894878706192,2011-3-18,124.25876010781663,2011-4-27
454.44743935309964,2011-3-30,175.8760107816711,2011-4-3,123.71967654986517,2011-5-13
459.2991913746631,2011-4-16,178.84097035040418,2011-4-20,124.25876010781663,2011-5-30
462.9380053908357,2011-5-3,176.81940700808627,2011-5-6,126.14555256064676,2011-6-16
455.256064690027,2011-5-17,173.18059299191384,2011-5-23,126.14555256064692,2011-7-2
449.1913746630728,2011-5-25,167.52021563342305,2011-6-7,126.1455525606468,2011-7-19
453.15363881401606,2011-6-8,164.15094339622638,2011-6-23,126.6846361185984,2011-8-4
462.3989218328842,2011-6-24,168.05929919137475,2011-7-10,126.1455525606469,2011-8-21
467.52021563342305,2011-7-12,174.5283018867924,2011-7-28,123.71967654986521,2011-9-6
469.8113207547171,2011-7-28,183.42318059299194,2011-8-14,125.33692722371973,2011-9-22
468.05929919137463,2011-8-14,184.7708894878706,2011-8-31,133.55795148247984,2011-10-10
464.8247978436657,2011-8-30,176.010781671159,2011-9-15,133.153638814016,2011-10-26
459.7035040431268,2011-9-15,170.61994609164415,2011-10-1,126.14555256064686,2011-11-11
457.14285714285717,2011-10-1,167.52021563342316,2011-10-17,122.64150943396216,2011-11-27
465.9992298806315,2011-10-19,169.00269541778965,2011-11-3,122.10242587601068,2011-12-13
469.60916442048506,2011-11-4,172.37196765498646,2011-11-20,122.10242587601076,2011-12-30
458.8371197535617,2011-11-14,170.61994609164418,2011-12-6,122.1024258760107,2012-1-15
449.865229110512,2011-11-21,167.11590296495956,2011-12-22,121.69811320754722,2012-2-1
442.1832884097035,2011-11-28,166.30727762803227,2012-1-8,120.21563342318056,2012-2-17
436.25336927223725,2011-12-14,166.44204851752025,2012-1-24,119.40700808625337,2012-3-5
430.05390835579504,2011-12-30,170.2156334231807,2012-2-10,118.5983827493261,2012-3-21
426.28032345013474,2012-1-15,171.1590296495956,2012-2-27,119.67654986522913,2012-4-7
423.1805929919138,2012-1-31,166.57681940700814,2012-3-14,122.37196765498656,2012-4-24
419.9460916442049,2012-2-16,165.3638814016172,2012-3-30,126.5498652291105,2012-5-11
415.0943396226416,2012-3-3,165.63342318059293,2012-4-16,124.5283018867925,2012-5-27
408.355795148248,2012-3-18,160.71428571428572,2012-4-29,120.48517520215633,2012-6-12
403.90835579514817,2012-4-3,150.72776280323447,2012-5-10,123.18059299191376,2012-6-29
400.9433962264151,2012-4-19,146.22641509433973,2012-5-24,127.62803234501348,2012-7-16
394.47439353099736,2012-5-5,152.96495956873315,2012-6-11,124.12398921832877,2012-8-1
389.89218328840985,2012-5-21,155.66037735849062,2012-6-27,120.35040431266843,2012-8-17
396.12533692722377,2012-6-6,153.23450134770889,2012-7-14,119.67654986522909,2012-9-2
406.3342318059299,2012-6-22,153.90835579514822,2012-7-30,119.67654986522903,2012-9-19
405.7951482479784,2012-7-9,156.87331536388146,2012-8-16,120.21563342318056,2012-10-5
402.5606469002695,2012-7-25,158.22102425876005,2012-9-2,120.08086253369278,2012-10-22
395.82210242587604,2012-8-9,158.22102425876002,2012-9-18,118.59838274932608,2012-11-7
